,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service,orig_h,resp_h,resp_p,orig_p
525,1556890203.930419,CSuC0t6pH5yhcJen6,10.0.3.15,49008,116.136.135.228,443,tcp,58.60023093223572,833.0,10715.0,SF,0,ShADadFf,14,1413,17,11399,ssl,10.0.3.15,116.136.135.228,443,49008
534,1556890203.931421,CMKgaGwKIbBWbfdP6,10.0.3.15,55919,116.136.135.228,443,tcp,148.00368690490723,1611.0,32511.0,SF,0,ShADadFf,40,3231,44,34275,ssl,10.0.3.15,116.136.135.228,443,55919
526,1556890204.348706,C9KgFG3ElcCAwP2Gh4,10.0.3.15,35133,116.136.135.228,443,tcp,58.51654005050659,865.0,4779.0,SF,0,ShADadFf,12,1365,13,5303,ssl,10.0.3.15,116.136.135.228,443,35133
