,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service,orig_h,resp_h,resp_p,orig_p
952,1556891496.426448,CWV0J538lQSwWxZ7e4,10.0.3.15,54707,27.221.93.100,443,tcp,208.62250399589539,13489.0,508300.0,SF,0,ShADadFf,384,28869,521,529144,ssl,10.0.3.15,27.221.93.100,443,54707
907,1556891496.437656,CzpSJhfVsjGrlzdwi,10.0.3.15,44487,27.221.93.100,443,tcp,7.747965097427368,2890.0,70355.0,SF,0,ShADadFf,54,5070,81,73599,ssl,10.0.3.15,27.221.93.100,443,44487
905,1556891496.465585,C7mXpI3XhTK9h4VB67,10.0.3.15,47638,27.221.93.100,443,tcp,0.49840807914733887,1659.0,69833.0,SF,0,ShADadFf,41,3319,70,72637,ssl,10.0.3.15,27.221.93.100,443,47638
