,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service,orig_h,resp_h,resp_p,orig_p
77,1556888679.685996,CyILYo3qHsUfohMt12,10.0.3.15,45556,154.8.131.165,443,tcp,5.462928056716919,3226,17200,SF,0,ShADadFf,25,4246,25,18204,ssl,10.0.3.15,154.8.131.165,443,45556
78,1556888679.696741,CP6bhF3kDPVl1dXcmh,10.0.3.15,54021,154.8.131.165,443,tcp,5.4385199546813965,2405,1515,SF,0,ShADadFf,12,2905,11,1959,ssl,10.0.3.15,154.8.131.165,443,54021
74,1556888679.698505,CGXsxC2eHKaYjCcqc9,10.0.3.15,32812,154.8.131.165,443,tcp,5.318634986877441,1568,1670,SF,0,ShADadFf,11,2028,11,2114,ssl,10.0.3.15,154.8.131.165,443,32812
75,1556888685.159522,CETFDGoSZiGDrL1k3,10.0.3.15,33160,154.8.131.165,443,tcp,0.10395503044128418,1531,1654,S1,0,ShADad,7,1831,7,1938,ssl,10.0.3.15,154.8.131.165,443,33160
79,1556888685.161871,CEUyuk3cIz2R6VJDfi,10.0.3.15,58398,154.8.131.165,443,tcp,0.11032509803771973,1531,1702,S1,0,ShADad,7,1831,7,1986,ssl,10.0.3.15,154.8.131.165,443,58398
76,1556888685.211825,CfURpH2KVH1JUROvG2,10.0.3.15,42395,154.8.131.165,443,tcp,0.021171092987060547,1307,145,S1,0,ShADad,6,1567,5,349,ssl,10.0.3.15,154.8.131.165,443,42395
