,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service,orig_h,resp_h,resp_p,orig_p
1029,1556891795.476157,Cny2Y1vK7sJaBX5jl,10.0.3.15,34621,116.136.134.81,443,tcp,0.7602231502532959,2453.0,116433.0,SF,21545,ShADadgFf,66,5113,100,98892,ssl,10.0.3.15,116.136.134.81,443,34621
1027,1556891795.483145,CSUdQvslkz41MF5Ak,10.0.3.15,36229,116.136.134.81,443,tcp,0.7404100894927979,1627.0,40570.0,SF,0,ShADadFf,32,2927,53,42694,ssl,10.0.3.15,116.136.134.81,443,36229
1030,1556891795.579079,CqiSWrVVbqPK4jmBd,10.0.3.15,53247,116.136.134.81,443,tcp,0.6595320701599121,865.0,11094.0,SF,0,ShADadFf,16,1525,18,11818,ssl,10.0.3.15,116.136.134.81,443,53247
1026,1556891795.609464,CIk7S12yIkqOx3kbM6,10.0.3.15,51741,116.136.134.81,443,tcp,0.6074061393737793,849.0,10102.0,SF,0,ShADadFf,14,1429,18,10826,ssl,10.0.3.15,116.136.134.81,443,51741
1065,1556891796.88221,CFHHZh3xdV1EMDLyW6,10.0.3.15,59081,116.136.134.81,443,tcp,18.860852003097534,3940.0,131382.0,S1,0,ShADad,93,7680,133,136706,ssl,10.0.3.15,116.136.134.81,443,59081
1054,1556891796.891034,CXtwCs4IezxMaTkA5i,10.0.3.15,50012,116.136.134.81,443,tcp,0.5346081256866455,1238.0,48890.0,SF,0,ShADadFf,31,2498,50,50894,ssl,10.0.3.15,116.136.134.81,443,50012
1053,1556891796.911186,CmyVUk2MdlKfytDlLd,10.0.3.15,48072,116.136.134.81,443,tcp,0.32080793380737305,865.0,13515.0,SF,0,ShADadFf,16,1525,21,14359,ssl,10.0.3.15,116.136.134.81,443,48072
1058,1556891797.016889,C62g6u4kVB8blik148,10.0.3.15,50442,116.136.134.81,443,tcp,5.1828529834747314,1270.0,28442.0,SF,0,ShADadFf,31,2530,36,29886,ssl,10.0.3.15,116.136.134.81,443,50442
1063,1556891797.492289,CDPVIl4BPn3qrYy0bh,10.0.3.15,35077,116.136.134.81,443,tcp,29.822454929351807,849.0,24869.0,SF,0,ShADadFf,20,1669,29,26033,ssl,10.0.3.15,116.136.134.81,443,35077
1064,1556891797.495004,Cn8SxwNRqgv5UVx4c,10.0.3.15,54028,116.136.134.81,443,tcp,27.124048948287964,849.0,11051.0,SF,0,ShADadFf,14,1429,17,11735,ssl,10.0.3.15,116.136.134.81,443,54028
