,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service,orig_h,resp_h,resp_p,orig_p
39,1556888651.626006,C76UMF2E4GdYMMo8Rl,10.0.3.15,50488,124.238.243.138,443,tcp,0.1586761474609375,665,49042,RSTR,0,ShADadRr,29,1845,46,50886,ssl,10.0.3.15,124.238.243.138,443,50488
41,1556888651.78628,CUVKhv1JQBQjeGaeW2,10.0.3.15,43444,124.238.243.138,443,tcp,0.14772796630859375,814,9787,SF,0,SDadAFf,11,1274,14,10347,ssl,10.0.3.15,124.238.243.138,443,43444
42,1556888651.942155,CqosISRaYmUGajkTj,10.0.3.15,50711,124.238.243.138,443,tcp,0.1922461986541748,798,102345,RSTR,12000,ShADadgRr,43,2538,78,93469,ssl,10.0.3.15,124.238.243.138,443,50711
44,1556888653.363562,C4I2MW3tPIoFHGdEE3,10.0.3.15,50986,124.238.243.138,443,tcp,0.14635896682739258,782,97965,RSTR,0,ShADadRRRr,52,2882,94,101729,ssl,10.0.3.15,124.238.243.138,443,50986
45,1556888653.507983,CUMwR7bLQXqnm7Ud7,10.0.3.15,38312,124.238.243.138,443,tcp,0.132673978805542,814,9787,SF,0,ShADadFf,13,1354,16,10431,ssl,10.0.3.15,124.238.243.138,443,38312
46,1556888653.629975,Cg1MN84uiTvHMisUu2,10.0.3.15,42226,124.238.243.138,443,tcp,0.19181394577026367,798,109786,RSTR,0,ShADadRr,56,3058,101,113830,ssl,10.0.3.15,124.238.243.138,443,42226
