,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service,orig_h,resp_h,resp_p,orig_p
826,1556891236.108243,ClWbh91sezpo524GE4,10.0.3.15,58258,119.188.218.230,443,tcp,10.685667991638184,3700.0,138518.0,SF,0,ShADadFf,85,7120,142,144202,ssl,10.0.3.15,119.188.218.230,443,58258
817,1556891236.112077,CIpNSj3ipGbswUvjA7,10.0.3.15,46242,119.188.218.230,443,tcp,0.6343200206756592,1286.0,9872.0,SF,0,ShADadFf,14,1866,17,10556,ssl,10.0.3.15,119.188.218.230,443,46242
840,1556891237.229875,Cu50Aa1HjqRx206Qa6,10.0.3.15,40633,119.188.218.230,443,tcp,173.78190779685974,5027.0,362550.0,SF,0,ShADadFf,240,14647,355,376754,ssl,10.0.3.15,119.188.218.230,443,40633
834,1556891237.23367,CgC3ky4FrPqdBIFNd1,10.0.3.15,58274,119.188.218.230,443,tcp,156.04690599441528,732.0,128057.0,RSTR,0,ShADadfRr,64,3312,115,132661,ssl,10.0.3.15,119.188.218.230,443,58274
857,1556891411.902903,CKJHSW14kKKBNoVADf,10.0.3.15,41769,119.188.218.230,443,tcp,0.21295785903930664,849.0,22784.0,SF,0,ShADadFf,20,1669,30,23988,ssl,10.0.3.15,119.188.218.230,443,41769
859,1556891411.90917,CHXQgb3zuBpZUB2Gf9,10.0.3.15,46512,119.188.218.230,443,tcp,1.1255321502685547,833.0,21488.0,SF,0,ShADadFf,19,1613,27,22572,ssl,10.0.3.15,119.188.218.230,443,46512
862,1556891411.937678,CC1dqFTG6ICYlBgk2,10.0.3.15,51654,119.188.218.230,443,tcp,2.3393819332122803,849.0,24523.0,SF,0,ShADadFf,21,1709,31,25767,ssl,10.0.3.15,119.188.218.230,443,51654
872,1556891414.269875,Cf3XMG8d4LL8uhEHl,10.0.3.15,39226,119.188.218.230,443,tcp,5.671244859695435,4116.0,28942.0,SF,0,ShADadFf,31,5376,46,30786,ssl,10.0.3.15,119.188.218.230,443,39226
875,1556891414.27128,CaqSxf4tUs9mwpG9Qd,10.0.3.15,60627,119.188.218.230,443,tcp,27.97407603263855,748.0,6348.0,SF,0,ShADadFf,14,1328,15,6952,ssl,10.0.3.15,119.188.218.230,443,60627
873,1556891414.275847,CWxijz4z8ZkLc2JWZe,10.0.3.15,52938,119.188.218.230,443,tcp,6.8793699741363525,3274.0,22948.0,SF,0,ShADadFf,28,4414,40,24552,ssl,10.0.3.15,119.188.218.230,443,52938
885,1556891419.853563,Cy8t0V3QErQ3hJAy9i,10.0.3.15,43873,119.188.218.230,443,tcp,58.232770919799805,2000.0,148594.0,SF,0,ShADadFf,93,5740,140,154198,ssl,10.0.3.15,119.188.218.230,443,43873
882,1556891448.153692,CzOdSZ3NMfchLkHiD2,10.0.3.15,56138,119.188.218.230,443,tcp,28.19028091430664,897.0,70959.0,SF,0,ShADadFf,43,2637,76,74003,ssl,10.0.3.15,119.188.218.230,443,56138
