,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service,orig_h,resp_h,resp_p,orig_p
677,1556890843.342307,CQqdHt3Fliy1hZTs92,10.0.3.15,48078,139.209.203.190,443,tcp,57.55415987968445,2709.0,387340.0,SF,0,ShADadFf,235,12129,376,402384,ssl,10.0.3.15,139.209.203.190,443,48078
748,1556891021.167991,CcV1q24AuIRZ6fbBV2,10.0.3.15,60694,139.209.203.190,443,tcp,0.9028890132904053,2048.0,93618.0,SF,4380,ShADadgFf,54,4228,96,93082,ssl,10.0.3.15,139.209.203.190,443,60694
743,1556891021.175044,C5BHCH1zSRPzSzHiUl,10.0.3.15,46346,139.209.203.190,443,tcp,0.5388369560241699,833.0,10571.0,SF,0,ShADadFf,14,1413,18,11295,ssl,10.0.3.15,139.209.203.190,443,46346
750,1556891021.723274,Cf8DGh42ZF7c6ffJ4a,10.0.3.15,57947,139.209.203.190,443,tcp,0.44551706314086914,849.0,24912.0,SF,0,ShADadFf,21,1709,31,26156,ssl,10.0.3.15,139.209.203.190,443,57947
749,1556891021.728906,CAmNq1TEZsmAk7Ooe,10.0.3.15,40178,139.209.203.190,443,tcp,0.40388011932373047,833.0,7974.0,SF,0,ShADadFf,13,1373,15,8578,ssl,10.0.3.15,139.209.203.190,443,40178
753,1556891021.742775,CBLGJm2Z25xGpU5CSb,10.0.3.15,36642,139.209.203.190,443,tcp,1.941420078277588,849.0,20299.0,SF,0,ShADadFf,18,1589,26,21343,ssl,10.0.3.15,139.209.203.190,443,36642
760,1556891023.51938,CzANlo1xBhjUR9Mqj4,10.0.3.15,54817,139.209.203.190,443,tcp,43.46229100227356,2970.0,17647.0,SF,0,ShADadFf,25,3990,34,19011,ssl,10.0.3.15,139.209.203.190,443,54817
758,1556891023.522517,CvGk9rtb8ZCa17BLe,10.0.3.15,56974,139.209.203.190,443,tcp,33.073545932769775,2549.0,15380.0,SF,0,ShADadFf,22,3449,31,16624,ssl,10.0.3.15,139.209.203.190,443,56974
766,1556891023.523163,COawRD4h6vTZyv9ml7,10.0.3.15,37708,139.209.203.190,443,tcp,103.09629893302917,2970.0,17951.0,SF,0,ShADadFf,21,3830,30,19155,ssl,10.0.3.15,139.209.203.190,443,37708
