,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service,orig_h,resp_h,resp_p,orig_p
931,1556891593.818288,CvQvnO1JqOHThLlyp2,10.0.3.15,55928,150.138.121.103,443,tcp,0.46256399154663086,899.0,13259.0,SF,0,ShADadFf,15,1519,19,14023,ssl,10.0.3.15,150.138.121.103,443,55928
966,1556891705.018086,C1MFID49EN8j8V1lhk,10.0.3.15,40254,150.138.121.103,443,tcp,0.8700160980224609,899.0,64868.0,SF,0,ShADadFf,37,2399,64,67432,ssl,10.0.3.15,150.138.121.103,443,40254
998,1556891749.604468,Cg9Wdz2snaKnXICDr9,10.0.3.15,37412,150.138.121.103,443,tcp,0.7830178737640381,899.0,38261.0,SF,0,ShADadFf,35,2319,44,40025,ssl,10.0.3.15,150.138.121.103,443,37412
1022,1556891794.457507,C6p7xQ1sOPALSnOE05,10.0.3.15,33870,150.138.121.103,443,tcp,1.3171072006225586,899.0,107219.0,SF,0,ShADadFf,77,3999,119,111983,ssl,10.0.3.15,150.138.121.103,443,33870
