,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service,orig_h,resp_h,resp_p,orig_p
115,1556888776.714231,CrnyEr4iN7kUKRmstg,10.0.3.15,54170,116.136.135.227,443,tcp,0.5685789585113525,2064.0,66809.0,SF,2001,ShADadgFf,48,4004,67,67492,ssl,10.0.3.15,116.136.135.227,443,54170
113,1556888776.759887,CUlCd21t8pdWFxQZQk,10.0.3.15,40118,116.136.135.227,443,tcp,0.452362060546875,849.0,54058.0,SF,2752,ShADadgFf,31,2109,51,53350,ssl,10.0.3.15,116.136.135.227,443,40118
114,1556888776.763835,C4cTxY2Sy7njjV4VB4,10.0.3.15,37009,116.136.135.227,443,tcp,0.5049290657043457,849.0,58058.0,SF,5312,ShADadgFf,31,2109,51,54790,ssl,10.0.3.15,116.136.135.227,443,37009
135,1556888802.98174,CfL10O1zukQCIhZtf3,10.0.3.15,49925,116.136.135.227,443,tcp,31.909241914749146,5112.0,148362.0,SF,0,ShADadFf,144,10892,162,154846,ssl,10.0.3.15,116.136.135.227,443,49925
