,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service,orig_h,resp_h,resp_p,orig_p
792,1556891148.47818,CI7ZGR2lrQbPLYTRHd,10.0.3.15,51571,27.221.93.97,443,tcp,8.422261953353882,2048.0,61764.0,SF,0,ShADadFf,51,4108,72,64648,ssl,10.0.3.15,27.221.93.97,443,51571
788,1556891148.493632,CO9TSTrcjX7ZIrMi6,10.0.3.15,56939,27.221.93.97,443,tcp,0.39431285858154297,1659.0,45973.0,SF,0,ShADadFf,33,2999,54,48137,ssl,10.0.3.15,27.221.93.97,443,56939
820,1556891148.570394,CNCZne1qn7s9tpAOp1,10.0.3.15,56232,27.221.93.97,443,tcp,88.6492989063263,6050.0,468371.0,SF,0,ShADadFf,287,17550,449,486335,ssl,10.0.3.15,27.221.93.97,443,56232
789,1556891148.611948,CeFnGN1fhsR7tKA0Xl,10.0.3.15,49816,27.221.93.97,443,tcp,0.2834808826446533,1254.0,32448.0,SF,0,ShADadFf,25,2274,39,34012,ssl,10.0.3.15,27.221.93.97,443,49816
802,1556891157.019161,CIis9eTUvXTIAsXfl,10.0.3.15,52145,27.221.93.97,443,tcp,73.57793807983398,833.0,12923.0,SF,0,ShADadFf,14,1413,18,13647,ssl,10.0.3.15,27.221.93.97,443,52145
