,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service,orig_h,resp_h,resp_p,orig_p
393,1556889811.539009,CKHyYS2VTwggJZXOZ9,10.0.3.15,35572,221.194.146.249,443,tcp,56.263110876083374,1254.0,152845.0,SF,0,ShADadFf,84,4634,156,159089,ssl,10.0.3.15,221.194.146.249,443,35572
392,1556889811.548778,CIPion40XIN6IuYFZ8,10.0.3.15,58547,221.194.146.249,443,tcp,47.61906290054321,2016.0,141394.0,SF,0,ShADadFf,79,5196,144,147158,ssl,10.0.3.15,221.194.146.249,443,58547
385,1556889811.554262,CMqGDt4kWpnn1QFaL7,10.0.3.15,58527,221.194.146.249,443,tcp,0.3507051467895508,833.0,9275.0,SF,0,ShADadFf,13,1373,16,9919,ssl,10.0.3.15,221.194.146.249,443,58527
