,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service,orig_h,resp_h,resp_p,orig_p
319,1556889551.756303,CE9p9r3NlQmal1iNAb,10.0.3.15,52055,140.249.37.244,443,tcp,72.08438396453857,1222.0,20955.0,SF,0,ShADadFf,22,2122,27,22039,ssl,10.0.3.15,140.249.37.244,443,52055
345,1556889635.793523,C1qw3u23b3cK4JISRf,10.0.3.15,39267,140.249.37.244,443,tcp,107.24148082733154,1121.0,100468.0,SF,0,ShADadFf,65,3741,106,104712,ssl,10.0.3.15,140.249.37.244,443,39267
351,1556889635.796263,CIlytzVxzoTpLiAh2,10.0.3.15,46661,140.249.37.244,443,tcp,113.59990406036377,7750.0,471805.0,SF,0,ShADadFf,350,21770,487,491289,ssl,10.0.3.15,140.249.37.244,443,46661
339,1556889635.806059,C07SOl3xTBJPKkCk7a,10.0.3.15,56229,140.249.37.244,443,tcp,8.19205617904663,732.0,94276.0,SF,0,ShADadFf,49,2712,88,97800,ssl,10.0.3.15,140.249.37.244,443,56229
349,1556889742.801428,CHMp3B3e8pvZDuibUa,10.0.3.15,36100,140.249.37.244,443,tcp,6.5151588916778564,1318.0,107790.0,SF,0,ShADadFf,60,3738,108,112114,ssl,10.0.3.15,140.249.37.244,443,36100
375,1556889803.800617,CO8taf3HJFeLuwQM5,10.0.3.15,45879,140.249.37.244,443,tcp,7.391684055328369,881.0,34581.0,SF,0,ShADadFf,24,1861,38,36105,ssl,10.0.3.15,140.249.37.244,443,45879
