,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service,orig_h,resp_h,resp_p,orig_p
121,1556888802.81907,CQlcCN2z63AouyWE1b,10.0.3.15,54167,150.138.98.120,443,tcp,0.1697068214416504,782.0,24582.0,RSTR,0,ShADadRr,19,1562,28,25706,ssl,10.0.3.15,150.138.98.120,443,54167
123,1556888802.988522,CYTrD12roSwpKdI3I6,10.0.3.15,43711,150.138.98.120,443,tcp,0.1919260025024414,814.0,19296.0,SF,0,ShADadFf,19,1594,28,20420,ssl,10.0.3.15,150.138.98.120,443,43711
124,1556888803.162284,C7lyD44WWdguc3SXV4,10.0.3.15,35093,150.138.98.120,443,tcp,0.16811800003051758,798.0,21759.0,RSTR,0,ShADadRr,20,1618,30,22963,ssl,10.0.3.15,150.138.98.120,443,35093
