,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service,orig_h,resp_h,resp_p,orig_p
423,1556889870.177281,CjV6xp2dZKg2gnJTRe,10.0.3.15,52973,139.209.203.192,443,tcp,86.80771708488464,6732.0,263866.0,SF,0,ShADadFf,204,14912,278,274990,ssl,10.0.3.15,139.209.203.192,443,52973
419,1556889870.582717,C7HIGH3Y3WdZFMr0e,10.0.3.15,59923,139.209.203.192,443,tcp,69.6937689781189,1238.0,35722.0,SF,0,ShADadFf,26,2298,40,37326,ssl,10.0.3.15,139.209.203.192,443,59923
415,1556889870.587024,Cs0EXY217DmilElgu9,10.0.3.15,47493,139.209.203.192,443,tcp,61.95379710197449,1643.0,26863.0,SF,0,ShADadFf,25,2663,37,28347,ssl,10.0.3.15,139.209.203.192,443,47493
