,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service,orig_h,resp_h,resp_p,orig_p
231,1556889286.328357,CKhyB82kl2W90E0jTf,10.0.3.15,46447,124.238.243.14,443,tcp,0.1670229434967041,782.0,142842.0,RSTR,7700,ShADadgRr,62,3282,114,139706,ssl,10.0.3.15,124.238.243.14,443,46447
233,1556889286.495398,Cb1cNK3alCuPxHaqNe,10.0.3.15,41892,124.238.243.14,443,tcp,0.14038586616516113,814.0,19280.0,SF,0,ShADadFf,17,1514,25,20284,ssl,10.0.3.15,124.238.243.14,443,41892
234,1556889286.63501,C2Uqqy2hnnS2CHmu45,10.0.3.15,56796,124.238.243.14,443,tcp,0.16686511039733887,798.0,150030.0,RSTR,0,ShADadr,76,3858,161,156474,ssl,10.0.3.15,124.238.243.14,443,56796
