,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service,orig_h,resp_h,resp_p,orig_p
955,1556891698.65409,CYwe1b8IaVghk5yEb,10.0.3.15,56387,123.246.197.143,443,tcp,6.420102119445801,897.0,50677.0,SF,0,ShADadFf,34,2277,57,52961,ssl,10.0.3.15,123.246.197.143,443,56387
983,1556891742.567933,CKL31csHS1GatY112,10.0.3.15,44575,123.246.197.143,443,tcp,7.121464014053345,897.0,104537.0,SF,0,ShADadFf,55,3117,99,108501,ssl,10.0.3.15,123.246.197.143,443,44575
1008,1556891787.782756,CIujk52WvrGhZdqdJa,10.0.3.15,34932,123.246.197.143,443,tcp,6.526151895523071,897.0,99401.0,SF,0,ShADadFf,56,3157,101,103445,ssl,10.0.3.15,123.246.197.143,443,34932
