,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service,orig_h,resp_h,resp_p,orig_p
480,1556890111.296189,CYanOj19xYbjEfqtXk,10.0.3.15,40167,221.194.146.244,443,tcp,0.7639880180358887,3194.0,344392.0,SF,44280,ShADadgFf,160,9614,286,311556,ssl,10.0.3.15,221.194.146.244,443,40167
491,1556890111.748248,CHgzpfSM19t3VKIUc,10.0.3.15,33328,221.194.146.244,443,tcp,29.105734825134277,4382.0,181632.0,SF,0,ShADadFf,131,9642,183,188956,ssl,10.0.3.15,221.194.146.244,443,33328
484,1556890112.105955,CwVvUe6SBOaSrWUC4,10.0.3.15,43082,221.194.146.244,443,tcp,0.22656512260437012,849.0,42773.0,SF,0,ShADadFf,28,1989,45,44577,ssl,10.0.3.15,221.194.146.244,443,43082
