,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service,orig_h,resp_h,resp_p,orig_p
250,1556889295.405814,C6XzQi4hfuEWpfks2i,10.0.3.15,33670,123.246.194.113,443,tcp,5.02140998840332,881.0,18539.0,SF,0,ShADadFf,18,1621,26,19583,ssl,10.0.3.15,123.246.194.113,443,33670
275,1556889313.867798,CAigl61mIa8a9xAAMl,10.0.3.15,56421,123.246.194.113,443,tcp,33.87779498100281,2437.0,93272.0,SF,0,ShADadFf,55,4657,97,97156,ssl,10.0.3.15,123.246.194.113,443,56421
276,1556889313.88335,CRRnvG2zQ6JID48yub,10.0.3.15,56343,123.246.194.113,443,tcp,33.86921405792236,1238.0,28837.0,SF,0,ShADadFf,24,2218,36,30281,ssl,10.0.3.15,123.246.194.113,443,56343
287,1556889313.907766,CE5VxF3yESCfXbB2b,10.0.3.15,36738,123.246.194.113,443,tcp,139.91383481025696,8629.0,335645.0,SF,0,ShADadFf,298,20569,353,349769,ssl,10.0.3.15,123.246.194.113,443,36738
283,1556889313.95666,CeUFeo4bzVO38Il7kf,10.0.3.15,44549,123.246.194.113,443,tcp,126.54431295394897,1121.0,485644.0,RSTR,0,ShADadfRr,218,9861,450,503648,ssl,10.0.3.15,123.246.194.113,443,44549
296,1556889445.113926,CPQf4a1stqWFw2iTmg,10.0.3.15,50563,123.246.194.113,443,tcp,30.959602117538452,2629.0,184075.0,SF,0,ShADadFf,123,7569,179,191239,ssl,10.0.3.15,123.246.194.113,443,50563
324,1556889476.402839,CXcFzq1Q496NK91nmd,10.0.3.15,40958,123.246.194.113,443,tcp,158.99302911758423,7073.0,300660.0,SF,3160,ShADadgFf,256,17333,313,310024,ssl,10.0.3.15,123.246.194.113,443,40958
322,1556889476.437742,CsQSFa2jkwkEgz9DDa,10.0.3.15,42167,123.246.194.113,443,tcp,158.63596892356873,2016.0,91469.0,SF,0,ShADadFf,70,4836,103,95593,ssl,10.0.3.15,123.246.194.113,443,42167
307,1556889476.444214,CQuA2U1V2ABlzD3G96,10.0.3.15,58492,123.246.194.113,443,tcp,7.715470790863037,1238.0,36069.0,SF,0,ShADadFf,38,2778,42,37753,ssl,10.0.3.15,123.246.194.113,443,58492
305,1556889476.465221,CLrS3eUdPvHriIlae,10.0.3.15,51247,123.246.194.113,443,tcp,0.2845470905303955,833.0,5798.0,SF,0,ShADadFf,12,1333,14,6362,ssl,10.0.3.15,123.246.194.113,443,51247
775,1556891066.849501,CpKpAvO39vkoRB3Y1,10.0.3.15,38795,123.246.194.113,443,tcp,81.2865960597992,2661.0,72036.0,SF,0,ShADadFf,82,5961,87,75520,ssl,10.0.3.15,123.246.194.113,443,38795
778,1556891142.613394,C4vSjV2lAmGa9xTaQ,10.0.3.15,54743,123.246.194.113,443,tcp,5.557218074798584,897.0,99369.0,SF,0,ShADadFf,56,3157,101,103413,ssl,10.0.3.15,123.246.194.113,443,54743
807,1556891230.364853,C4F6o33MI7vnUSly2,10.0.3.15,38895,123.246.194.113,443,tcp,5.77877402305603,897.0,70767.0,SF,0,ShADadFf,44,2677,77,73851,ssl,10.0.3.15,123.246.194.113,443,38895
853,1556891411.366946,CAfJZi4SyUbbJniw6e,10.0.3.15,41029,123.246.194.113,443,tcp,0.5382471084594727,2064.0,63646.0,SF,0,ShADadFf,50,4084,74,66610,ssl,10.0.3.15,123.246.194.113,443,41029
860,1556891411.369927,CWiAIt2bE0gfWdwTWg,10.0.3.15,51852,123.246.194.113,443,tcp,1.770369052886963,3279.0,126769.0,SF,0,ShADadFf,80,6499,137,132253,ssl,10.0.3.15,123.246.194.113,443,51852
967,1556891411.50297,CUDBXg36RxMBNvCXal,10.0.3.15,57419,123.246.194.113,443,tcp,0.35067009925842285,1239.0,31733.0,S3,1,ShADadGf,22,2138,35,33137,ssl,10.0.3.15,123.246.194.113,443,57419
852,1556891411.522895,CkvHKX2vUu0kZjAQz6,10.0.3.15,37176,123.246.194.113,443,tcp,0.3319268226623535,865.0,23531.0,SF,0,ShADadFf,20,1685,30,24735,ssl,10.0.3.15,123.246.194.113,443,37176
893,1556891477.382409,CGwCtX28YrG8O5hGWa,10.0.3.15,38850,123.246.194.113,443,tcp,18.655882835388184,1350.0,126456.0,SF,0,ShADadFf,68,4090,125,131460,ssl,10.0.3.15,123.246.194.113,443,38850
890,1556891477.384016,CvyTqlCgppXxd81Ia,10.0.3.15,50594,123.246.194.113,443,tcp,18.65143084526062,897.0,87524.0,SF,0,ShADadFf,49,2877,87,91008,ssl,10.0.3.15,123.246.194.113,443,50594
937,1556891593.935976,C7KkTo2KuWVlzalnU3,10.0.3.15,39514,123.246.194.113,443,tcp,5.234853982925415,1238.0,25760.0,SF,0,ShADadFf,22,2138,32,27044,ssl,10.0.3.15,123.246.194.113,443,39514
932,1556891593.951328,CBjRYK2lMn2bnDFz2j,10.0.3.15,55489,123.246.194.113,443,tcp,0.3381819725036621,849.0,23280.0,SF,0,ShADadFf,19,1629,28,24404,ssl,10.0.3.15,123.246.194.113,443,55489
933,1556891594.01836,C7U6rd14RS7VnvSLjl,10.0.3.15,52112,123.246.194.113,443,tcp,0.2880420684814453,849.0,38341.0,SF,0,ShADadFf,26,1909,41,39985,ssl,10.0.3.15,123.246.194.113,443,52112
