,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service,orig_h,resp_h,resp_p,orig_p
171,1556888960.828722,CweKXd2wq8UmjDmKDk,10.0.3.15,44351,111.32.143.148,443,tcp,22.619920015335083,1702.0,36478.0,SF,0,ShADadFf,41,3362,45,38282,ssl,10.0.3.15,111.32.143.148,443,44351
202,1556889099.669944,CdGJV4ivYyiLf3M4h,10.0.3.15,47707,111.32.143.148,443,tcp,45.35672092437744,3588.0,137528.0,SF,0,ShADadFf,127,8688,142,143212,ssl,10.0.3.15,111.32.143.148,443,47707
220,1556889145.318398,CU3B301Q5A0G6JiWB1,10.0.3.15,41848,111.32.143.148,443,tcp,10.802407026290894,2080.0,175572.0,SF,0,ShADadFf,91,5740,161,182016,ssl,10.0.3.15,111.32.143.148,443,41848
291,1556889453.733338,CPAPik4n0LZV3uWlik,10.0.3.15,36387,111.32.143.148,443,tcp,22.284214973449707,897.0,60099.0,SF,0,ShADadFf,32,2197,53,62223,ssl,10.0.3.15,111.32.143.148,443,36387
364,1556889749.740484,CURqWI2tc9BnqtOFGg,10.0.3.15,55161,111.32.143.148,443,tcp,6.26308798789978,1574.0,340212.0,SF,69920,ShADadggFf,156,7834,251,280336,ssl,10.0.3.15,111.32.143.148,443,55161
372,1556889803.751256,Cz1H0x60u5FaTNoX8,10.0.3.15,58062,111.32.143.148,443,tcp,7.422722101211548,897.0,70306.0,SF,0,ShADadFf,35,2317,59,72670,ssl,10.0.3.15,111.32.143.148,443,58062
451,1556890006.027671,CaHSWx2bghEhirvMB,10.0.3.15,48139,111.32.143.148,443,tcp,42.67352294921875,2016.0,49076.0,SF,0,ShADadFf,48,3956,57,51360,ssl,10.0.3.15,111.32.143.148,443,48139
457,1556890044.127012,CWxNvi4sX2natL9fpk,10.0.3.15,43943,111.32.143.148,443,tcp,47.838346004486084,1771.0,148256.0,SF,0,ShADadFf,78,4911,144,154020,ssl,10.0.3.15,111.32.143.148,443,43943
467,1556890097.591733,CsLB4u0dmUL74L4N,10.0.3.15,54677,111.32.143.148,443,tcp,13.627547025680542,780.0,24183.0,SF,0,ShADadFf,21,1640,30,25387,ssl,10.0.3.15,111.32.143.148,443,54677
550,1556890354.802989,CVN0w23a9zfxqiPO6j,10.0.3.15,47341,111.32.143.148,443,tcp,0.17746996879577637,865.0,8788.0,SF,0,ShADadFf,13,1405,15,9392,ssl,10.0.3.15,111.32.143.148,443,47341
624,1556890582.392454,CHczp51YyR2zjgteaj,10.0.3.15,47743,111.32.143.148,443,tcp,95.89417910575867,3471.0,76333.0,SF,0,ShADadfF,87,6971,90,79937,ssl,10.0.3.15,111.32.143.148,443,47743
621,1556890582.415468,CAiczw1E3q9eafvTu6,10.0.3.15,56421,111.32.143.148,443,tcp,46.64024591445923,716.0,12500.0,RSTR,0,ShADadfRr,18,1456,19,13264,ssl,10.0.3.15,111.32.143.148,443,56421
679,1556890868.891607,CJG7ZE19eI6rrMcPM9,10.0.3.15,58874,111.32.143.148,443,tcp,32.445168018341064,1366.0,110844.0,SF,0,ShADadFf,65,3986,101,114888,ssl,10.0.3.15,111.32.143.148,443,58874
904,1556891496.427194,CJ7Vto3annJOZVTr1c,10.0.3.15,47805,111.32.143.148,443,tcp,0.533362865447998,2400.0,452268.0,SF,102619,ShADadgFf,161,8860,306,361893,ssl,10.0.3.15,111.32.143.148,443,47805
