,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service,orig_h,resp_h,resp_p,orig_p
173,1556888924.876962,CjusjB4ZGZSWnnsoBg,10.0.3.15,52177,123.246.194.118,443,tcp,58.59303307533264,2661.0,56382.0,SF,0,ShADadFf,64,5241,69,59146,ssl,10.0.3.15,123.246.194.118,443,52177
203,1556888983.751985,Cnx0OB3G8Kiec51U09,10.0.3.15,39672,123.246.194.118,443,tcp,161.27684092521667,9034.0,618860.0,SF,0,ShADadFf,425,26054,615,643464,ssl,10.0.3.15,123.246.194.118,443,39672
185,1556888983.752707,CKImTj1mAWb9ypnuF8,10.0.3.15,37742,123.246.194.118,443,tcp,0.7262389659881592,2032.0,51561.0,SF,0,ShADadFf,41,3692,65,54165,ssl,10.0.3.15,123.246.194.118,443,37742
186,1556888983.789501,CbZhFsp8FSRqEczo,10.0.3.15,48492,123.246.194.118,443,tcp,0.7950451374053955,1627.0,105203.0,SF,0,ShADadFf,57,3927,99,109167,ssl,10.0.3.15,123.246.194.118,443,48492
184,1556888983.870205,CFJvlsRaZUDTiOzwa,10.0.3.15,36278,123.246.194.118,443,tcp,0.4510800838470459,849.0,18512.0,SF,0,ShADadFf,18,1589,25,19516,ssl,10.0.3.15,123.246.194.118,443,36278
221,1556889145.324966,CiSb2l3sm35VOzqSPc,10.0.3.15,47538,123.246.194.118,443,tcp,10.817296028137207,2032.0,168369.0,SF,4740,ShADadgFf,82,5332,154,169793,ssl,10.0.3.15,123.246.194.118,443,47538
245,1556889145.32981,CmYJJn1r9zj0tZpLR9,10.0.3.15,51793,123.246.194.118,443,tcp,150.98028111457825,5144.0,165285.0,SF,0,ShADadFf,144,10924,178,172409,ssl,10.0.3.15,123.246.194.118,443,51793
215,1556889145.333436,CK6r7x3cTCNMCVrbX7,10.0.3.15,59479,123.246.194.118,443,tcp,0.38659000396728516,849.0,97460.0,SF,0,ShADadFf,53,2989,96,101304,ssl,10.0.3.15,123.246.194.118,443,59479
217,1556889145.379962,CdkE3f3ZJua44KhQyj,10.0.3.15,55009,123.246.194.118,443,tcp,0.43596911430358887,1254.0,94169.0,SF,0,ShADadFf,52,3354,93,97893,ssl,10.0.3.15,123.246.194.118,443,55009
