,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service,orig_h,resp_h,resp_p,orig_p
23,1556888619.597216,CsyXiH1udIw0aG3LF5,10.0.3.15,52221,154.8.131.171,443,tcp,3.7108170986175537,2975,41167,SF,0,ShADadFf,40,4595,45,42971,ssl,10.0.3.15,154.8.131.171,443,52221
19,1556888620.403927,C9YNDP2jo8t4wgXNy3,10.0.3.15,38842,154.8.131.171,443,tcp,2.656627893447876,1040,20843,SF,0,ShADadFf,24,2020,23,21767,ssl,10.0.3.15,154.8.131.171,443,38842
8,1556888620.44899,CFnh6c4eChl7GheKeg,10.0.3.15,41145,154.8.131.171,443,tcp,0.39577698707580566,1040,3126,SF,0,ShADadFf,11,1500,11,3570,ssl,10.0.3.15,154.8.131.171,443,41145
13,1556888620.449503,CBP0YO2thAl6n0CYSk,10.0.3.15,38467,154.8.131.171,443,tcp,1.1196370124816895,1557,3435,SF,0,ShADadFf,13,2097,12,3919,ssl,10.0.3.15,154.8.131.171,443,38467
12,1556888620.450065,CsjSzl1BVRAHmPqVc8,10.0.3.15,56301,154.8.131.171,443,tcp,1.0167560577392578,1008,18187,SF,0,ShADadFf,17,1708,23,19111,ssl,10.0.3.15,154.8.131.171,443,56301
6,1556888620.450779,CMWf0r3lV9uKoptpWl,10.0.3.15,39192,154.8.131.171,443,tcp,0.17714500427246094,1008,2358,SF,0,ShADadFf,10,1428,10,2762,ssl,10.0.3.15,154.8.131.171,443,39192
5,1556888620.451881,CVKd9s46nO4pfXYMJ4,10.0.3.15,42654,154.8.131.171,443,tcp,0.1627960205078125,1008,966,SF,0,ShADadFf,10,1428,9,1330,ssl,10.0.3.15,154.8.131.171,443,42654
10,1556888620.457566,CaX8k818OXGwoV50Gf,10.0.3.15,58476,154.8.131.171,443,tcp,0.9253690242767334,1024,1894,SF,0,ShADadFf,10,1444,10,2298,ssl,10.0.3.15,154.8.131.171,443,58476
7,1556888620.464781,C2zH6V43BQgMwUoX9,10.0.3.15,47781,154.8.131.171,443,tcp,0.27844905853271484,1008,1334,SF,0,ShADadFf,10,1428,9,1698,ssl,10.0.3.15,154.8.131.171,443,47781
11,1556888620.466802,CvLtQc42yNj7p5YvIl,10.0.3.15,34901,154.8.131.171,443,tcp,0.9318060874938965,1280,854,SF,0,ShADadFf,10,1700,9,1218,ssl,10.0.3.15,154.8.131.171,443,34901
30,1556888623.188139,C5IH9z2w5TLL1bDnwb,10.0.3.15,60287,154.8.131.171,443,tcp,0.5833189487457275,2000,10975,SF,0,ShADadFf,17,2700,21,11819,ssl,10.0.3.15,154.8.131.171,443,60287
28,1556888623.190519,CL04LA4xpbgo1BNN62,10.0.3.15,38591,154.8.131.171,443,tcp,0.4508638381958008,1179,7834,SF,0,ShADadFf,14,1759,16,8478,ssl,10.0.3.15,154.8.131.171,443,38591
29,1556888623.270671,CTPfuj2aGChut7wKU2,10.0.3.15,60257,154.8.131.171,443,tcp,0.40406322479248047,1296,3286,SF,0,ShADadFf,11,1756,11,3730,ssl,10.0.3.15,154.8.131.171,443,60257
60,1556888651.104929,CbDNMrHAC7P4XCiZ8,10.0.3.15,40210,154.8.131.171,443,tcp,28.65131902694702,1926,1115,SF,0,ShADadFf,12,2426,11,1559,ssl,10.0.3.15,154.8.131.171,443,40210
80,1556888681.477868,CuXPty3WxzsQVH8GFj,10.0.3.15,54969,154.8.131.171,443,tcp,3.5842299461364746,1201,630,SF,0,ShADadFf,10,1621,9,994,ssl,10.0.3.15,154.8.131.171,443,54969
