,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,orig_h,resp_h,resp_p,orig_p
33,1634441824.372612,Cq0ruB2NYfmgVmnD0e,192.168.56.105,60930,192.168.56.107,443,tcp,ssl,5.043903112411499,995,1749,RSTO,0,ShADadfR,9,1471,9,2225,192.168.56.105,192.168.56.107,443,60930
34,1634441828.039509,CdWCU22FuhOQS2kpa8,192.168.56.105,60932,192.168.56.107,443,tcp,ssl,5.054095983505249,950,51835,RSTO,0,ShADadfR,14,1686,16,52675,192.168.56.105,192.168.56.107,443,60932
35,1634441829.962808,CrRIku17lVyrdbYkJe,192.168.56.105,60934,192.168.56.107,443,tcp,ssl,5.121762037277222,977,54177,RSTO,0,ShADadfR,15,1765,16,55017,192.168.56.105,192.168.56.107,443,60934
36,1634441830.614542,CK5ABLNKAItfB1oQi,192.168.56.105,60936,192.168.56.107,443,tcp,ssl,6.746572017669678,2769,14761,RSTO,0,ShADadfR,16,3609,14,15497,192.168.56.105,192.168.56.107,443,60936
37,1634441836.021618,CBrNjm4hkwkZPbMmT,192.168.56.105,60938,192.168.56.107,443,tcp,ssl,5.279597997665405,950,55502,RSTR,0,ShADadfRr,15,1738,17,56382,192.168.56.105,192.168.56.107,443,60938
38,1634441838.716497,C3M8uf1aZZU1plU2E3,192.168.56.105,60940,192.168.56.107,443,tcp,ssl,5.309287071228027,1023,58897,RSTO,0,ShADadfR,18,1955,18,59841,192.168.56.105,192.168.56.107,443,60940
39,1634441841.561342,CEe9ov7lCwGqKHkb,192.168.56.105,60942,192.168.56.107,443,tcp,ssl,5.178785085678101,1050,56722,RSTO,0,ShADadfR,16,1878,17,57614,192.168.56.105,192.168.56.107,443,60942
40,1634441841.899993,C2IqK63t5DXEsuNWg,192.168.56.105,60944,192.168.56.107,443,tcp,ssl,13.701858043670654,3106,112647,RSTO,0,ShADadfR,33,4830,34,114423,192.168.56.105,192.168.56.107,443,60944
41,1634441850.769436,CW30P22fe4MXiTSsjh,192.168.56.105,60960,192.168.56.107,443,tcp,ssl,5.060075998306274,2315,12722,RSTO,0,ShADadfR,12,2947,13,13406,192.168.56.105,192.168.56.107,443,60960
42,1634441852.854329,CJVSoy1PqsVXPJPEf4,192.168.56.105,60980,192.168.56.107,443,tcp,ssl,5.120929956436157,1079,1804,RSTO,0,ShADadfR,9,1555,9,2280,192.168.56.105,192.168.56.107,443,60980
43,1634441856.654025,CwuT6EmGsAlZPe0ca,192.168.56.105,32804,192.168.56.107,443,tcp,ssl,7.185884952545166,1674,111239,RSTO,0,ShADadfR,33,3398,33,112963,192.168.56.105,192.168.56.107,443,32804
44,1634441860.896618,CnrAAx1nv2uxmw2Gd8,192.168.56.105,32808,192.168.56.107,443,tcp,ssl,5.041702032089233,1075,1753,RSTO,0,ShADadfR,9,1551,9,2229,192.168.56.105,192.168.56.107,443,32808
45,1634441864.61928,CERlW445MeulaSM8xi,192.168.56.105,32810,192.168.56.107,443,tcp,ssl,5.11851692199707,950,55495,RSTO,0,ShADadfR,17,1830,17,56387,192.168.56.105,192.168.56.107,443,32810
46,1634441866.660684,CR7hNHS3PiJxOpqP8,192.168.56.105,32812,192.168.56.107,443,tcp,ssl,7.246323823928833,1924,116497,RSTO,0,ShADadfR,21,3024,25,117805,192.168.56.105,192.168.56.107,443,32812
47,1634441877.326887,CIveaF3inkIiCrild,192.168.56.105,32814,192.168.56.107,443,tcp,ssl,5.08577299118042,950,55495,RSTO,0,ShADadfR,21,2050,23,56699,192.168.56.105,192.168.56.107,443,32814
48,1634441879.474226,CtZTfD3qs87I3OrtY6,192.168.56.105,32816,192.168.56.107,443,tcp,ssl,5.16238808631897,1023,58890,RSTO,0,ShADadfR,16,1863,17,59782,192.168.56.105,192.168.56.107,443,32816
49,1634441887.278142,Cjf3Xz11pjs1W7Qyn7,192.168.56.105,32836,192.168.56.107,443,tcp,ssl,6.149874925613403,1050,56715,RSTO,0,ShADadfR,14,1774,16,57555,192.168.56.105,192.168.56.107,443,32836
50,1634441890.985154,CohkNy2lao7hirz5yg,192.168.56.105,32890,192.168.56.107,443,tcp,ssl,5.0484089851379395,1072,1751,RSTO,0,ShADadfR,10,1588,9,2227,192.168.56.105,192.168.56.107,443,32890
54,1634441894.715251,CzxLzNA5cek7bgcYg,192.168.56.105,32912,192.168.56.107,443,tcp,ssl,22.01894211769104,3717,170315,RSTO,0,ShADadfR,48,6221,48,172819,192.168.56.105,192.168.56.107,443,32912
51,1634441896.804538,ChBqDx2sZALbQczvA9,192.168.56.105,32914,192.168.56.107,443,tcp,ssl,5.076181888580322,999,55413,RSTO,0,ShADadfR,17,1879,19,56409,192.168.56.105,192.168.56.107,443,32914
52,1634441901.117282,CFj3hx1KxtfreDDUig,192.168.56.105,32916,192.168.56.107,443,tcp,ssl,5.44277811050415,1031,54147,RSTO,0,ShADadfR,22,2183,24,55403,192.168.56.105,192.168.56.107,443,32916
53,1634441909.330059,ClNXnFCuoWLb8rKZ5,192.168.56.105,32918,192.168.56.107,443,tcp,ssl,5.207978963851929,977,58217,RSTO,0,ShADadfR,16,1817,17,59109,192.168.56.105,192.168.56.107,443,32918
55,1634441911.518986,CJw7Tq3rgD5WJ1ACEk,192.168.56.105,32920,192.168.56.107,443,tcp,ssl,14.436686038970947,4308,211338,RSTR,0,ShADadfRr,62,7528,60,214454,192.168.56.105,192.168.56.107,443,32920
56,1634441923.119919,CSJJBe4NCZCJwZAPE7,192.168.56.105,32944,192.168.56.107,443,tcp,ssl,5.06953501701355,977,53241,RSTO,0,ShADadfR,14,1713,16,54081,192.168.56.105,192.168.56.107,443,32944
57,1634441925.451018,CGqNwx3NGTNUDWDiAg,192.168.56.105,32966,192.168.56.107,443,tcp,ssl,5.059247016906738,999,1753,RSTO,0,ShADadfR,9,1475,9,2229,192.168.56.105,192.168.56.107,443,32966
58,1634441929.156023,COvwPw28xjUWKq233b,192.168.56.105,33016,192.168.56.107,443,tcp,ssl,5.0653910636901855,950,51835,RSTO,0,ShADadfR,15,1726,16,52675,192.168.56.105,192.168.56.107,443,33016
63,1634442010.443685,CAHlgV1SAJnPeV4bad,192.168.56.105,33204,192.168.56.107,443,tcp,ssl,21.7346088886261,6308,169079,RSTO,0,ShADadfR,52,9008,51,171739,192.168.56.105,192.168.56.107,443,33204
59,1634442012.461868,CtVfTy26JERm4nYE3,192.168.56.105,33206,192.168.56.107,443,tcp,ssl,7.255472898483276,1630,102942,RSTO,0,ShADadfR,21,2730,25,104250,192.168.56.105,192.168.56.107,443,33206
60,1634442015.037507,C9OUV71fMH4wonIc8j,192.168.56.105,33208,192.168.56.107,443,tcp,ssl,5.019727945327759,898,4631,RSTO,0,ShADadfR,9,1362,9,5107,192.168.56.105,192.168.56.107,443,33208
61,1634442015.040648,CjILsL85laLVClNye,192.168.56.105,33210,192.168.56.107,443,tcp,ssl,5.01766300201416,888,4303,RSTO,0,ShADadfR,8,1312,9,4779,192.168.56.105,192.168.56.107,443,33210
62,1634442024.548795,CVECxE22IcCvtiOfhb,192.168.56.105,33212,192.168.56.107,443,tcp,ssl,5.066720008850098,977,53241,RSTO,0,ShADadfR,13,1649,15,54029,192.168.56.105,192.168.56.107,443,33212
64,1634442027.10085,CLFbRT2nLKwuz7Ots8,192.168.56.105,33216,192.168.56.107,443,tcp,ssl,5.095144987106323,2265,12411,RSTO,0,ShADadfR,15,3041,14,13147,192.168.56.105,192.168.56.107,443,33216
65,1634442032.243372,CfhY6TIOIGzaeP29,192.168.56.105,33232,192.168.56.107,443,tcp,ssl,8.42716908454895,1598,102358,RSTO,0,ShADadfR,35,3426,42,104550,192.168.56.105,192.168.56.107,443,33232
66,1634442037.623544,CT9qQC43oymbRw7Lf1,192.168.56.105,33298,192.168.56.107,443,tcp,ssl,14.636526107788086,3619,208298,RSTO,0,ShADadfR,33,5343,40,210386,192.168.56.105,192.168.56.107,443,33298
67,1634442049.377578,COEZmi1igZ36sFvyyk,192.168.56.105,33308,192.168.56.107,443,tcp,ssl,5.095258951187134,977,53241,RSTO,0,ShADadfR,14,1701,16,54081,192.168.56.105,192.168.56.107,443,33308
68,1634442058.455433,CYKZOuS7UIDbKFJ9,192.168.56.105,33310,192.168.56.107,443,tcp,ssl,5.033071041107178,986,4949,RSTO,0,ShADadfR,9,1450,9,5425,192.168.56.105,192.168.56.107,443,33310
69,1634442063.368997,Ce5OK24zY10OmSyWM9,192.168.56.105,33318,192.168.56.107,443,tcp,ssl,5.103075981140137,950,51832,RSTO,0,ShADadfR,14,1686,16,52672,192.168.56.105,192.168.56.107,443,33318
70,1634442069.205938,CEpVT6185LFtLXNadk,192.168.56.105,33334,192.168.56.107,443,tcp,ssl,5.076802968978882,950,51832,RSTO,0,ShADadfR,14,1686,16,52672,192.168.56.105,192.168.56.107,443,33334
71,1634442071.312159,CVFcDd41tkPinNg6K7,192.168.56.105,33370,192.168.56.107,443,tcp,ssl,0.06359982490539551,950,51801,S1,0,ShADad,13,1634,14,52537,192.168.56.105,192.168.56.107,443,33370
