,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service,orig_h,resp_h,resp_p,orig_p
819,1556891236.487381,CMaPEl43XjOwONRAti,10.0.3.15,54875,150.138.121.101,443,tcp,0.5207259654998779,782.0,14865.0,SF,0,ShADadFf,17,1482,20,15669,ssl,10.0.3.15,150.138.121.101,443,54875
850,1556891411.34307,CrucAn2iRH5Hh1CGe4,10.0.3.15,49215,150.138.121.101,443,tcp,0.418057918548584,899.0,8246.0,SF,0,ShADadFf,13,1439,15,8850,ssl,10.0.3.15,150.138.121.101,443,49215
851,1556891411.343577,CZXOIa44X5BsJPOjO8,10.0.3.15,44018,150.138.121.101,443,tcp,0.5096831321716309,899.0,14347.0,SF,37,ShADadFGf,14,1442,20,15151,ssl,10.0.3.15,150.138.121.101,443,44018
902,1556891496.02354,Clcuk91S1DfVxcH5Q6,10.0.3.15,36577,150.138.121.101,443,tcp,0.6060478687286377,782.0,91877.0,SF,0,ShADadFf,52,2882,92,95561,ssl,10.0.3.15,150.138.121.101,443,36577
