,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service,orig_h,resp_h,resp_p,orig_p
1006,1556891749.947047,CLaqTf3JqjzNRewlJf,10.0.3.15,49601,113.200.15.230,443,tcp,44.35516309738159,14123.0,406630.0,SF,0,ShADadFf,307,26423,436,424074,ssl,10.0.3.15,113.200.15.230,443,49601
1000,1556891749.954968,C9J8XO2nAbGdobED4b,10.0.3.15,58962,113.200.15.230,443,tcp,7.360153913497925,1254.0,33482.0,SF,0,ShADadFf,26,2314,40,35086,ssl,10.0.3.15,113.200.15.230,443,58962
997,1556891749.96831,CQBUc24FEuGjy5J9Xb,10.0.3.15,34011,113.200.15.230,443,tcp,0.3672029972076416,1254.0,33882.0,SF,0,ShADadFf,31,2514,44,35646,ssl,10.0.3.15,113.200.15.230,443,34011
1007,1556891750.168393,Cobgaa3vwfKHzkurxk,10.0.3.15,47460,113.200.15.230,443,tcp,44.137036085128784,1254.0,25435.0,SF,0,ShADadFf,28,2394,32,26719,ssl,10.0.3.15,113.200.15.230,443,47460
