,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service,orig_h,resp_h,resp_p,orig_p
64,1556888664.853257,C8Qd773L3eSQIFf2gj,10.0.3.15,44813,58.58.80.224,443,tcp,16.71675705909729,1105.0,15003.0,SF,0,ShADadFf,22,2005,24,15967,ssl,10.0.3.15,58.58.80.224,443,44813
91,1556888693.928093,CxT0jz1lZaJKEDQY9k,10.0.3.15,33840,58.58.80.224,443,tcp,48.51230502128601,833.0,25120.0,SF,0,ShADadFf,20,1653,30,26324,ssl,10.0.3.15,58.58.80.224,443,33840
92,1556888693.928951,Cd6hio1sKkLIL8VEz7,10.0.3.15,56080,58.58.80.224,443,tcp,48.53877806663513,833.0,192114.0,SF,14720,ShADadgFf,82,4133,155,183598,ssl,10.0.3.15,58.58.80.224,443,56080
118,1556888776.374063,Cryyiv3xfpvshPAkDe,10.0.3.15,50156,58.58.80.224,443,tcp,25.496404886245728,2858.0,764869.0,SF,72405,ShADadgFf,288,14398,595,716268,ssl,10.0.3.15,58.58.80.224,443,50156
134,1556888824.272771,ClvWK2lUoVaci7aoh,10.0.3.15,60461,58.58.80.224,443,tcp,9.351294040679932,833.0,21370.0,SF,0,ShADadFf,19,1613,28,22494,ssl,10.0.3.15,58.58.80.224,443,60461
151,1556888870.14363,CYLfpt45QK4A6CKCBa,10.0.3.15,51722,58.58.80.224,443,tcp,46.15247988700867,3167.0,107063.0,SF,0,ShADadFf,97,7067,119,111827,ssl,10.0.3.15,58.58.80.224,443,51722
