,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service,orig_h,resp_h,resp_p,orig_p
502,1556890147.045556,CHe0O14CU1lCJ4M75d,10.0.3.15,36893,140.249.37.248,443,tcp,18.772466897964478,1755.0,190972.0,SF,39802,ShADadgFf,79,4935,146,157014,ssl,10.0.3.15,140.249.37.248,443,36893
506,1556890147.240034,CCxb3El7fzVtN2BPh,10.0.3.15,42212,140.249.37.248,443,tcp,36.13487982749939,2075.0,499446.0,SF,162186,ShADadggFf,166,8735,322,350144,ssl,10.0.3.15,140.249.37.248,443,42212
507,1556890147.356254,C5M4tv3w9gmy18HJh5,10.0.3.15,44422,140.249.37.248,443,tcp,36.018818855285645,1318.0,126771.0,SF,15072,ShADadgFf,60,3738,110,116103,ssl,10.0.3.15,140.249.37.248,443,44422
532,1556890200.943127,CkwI5J2VuA54iggKu8,10.0.3.15,42873,140.249.37.248,443,tcp,123.95975017547607,3183.0,136476.0,SF,0,ShADadFf,107,7483,146,142320,ssl,10.0.3.15,140.249.37.248,443,42873
554,1556890354.466611,CFzmtH1p0pZQwfdMV5,10.0.3.15,36129,140.249.37.248,443,tcp,0.7823441028594971,2421.0,93363.0,SF,0,ShADadFf,59,4801,103,97487,ssl,10.0.3.15,140.249.37.248,443,36129
570,1556890401.027649,CdZ0WtXGRWh42Mn8i,10.0.3.15,58454,140.249.37.248,443,tcp,56.51994609832764,7851.0,238586.0,SF,0,ShADadFf,242,17551,270,249390,ssl,10.0.3.15,140.249.37.248,443,58454
