,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service,orig_h,resp_h,resp_p,orig_p
703,1556890926.854576,CzlymQRUtjuRUsRJa,10.0.3.15,48820,116.136.134.79,443,tcp,2.7672479152679443,1643.0,91518.0,SF,0,ShADadFf,54,3823,96,95362,ssl,10.0.3.15,116.136.134.79,443,48820
698,1556890926.91806,CnM9En2OmBZsXOGSsb,10.0.3.15,52108,116.136.134.79,443,tcp,0.3334388732910156,865.0,10267.0,SF,0,ShADadFf,14,1445,17,10951,ssl,10.0.3.15,116.136.134.79,443,52108
713,1556890930.363954,CVOZ2K39YHs1qB7B48,10.0.3.15,39532,116.136.134.79,443,tcp,6.712540864944458,3002.0,30238.0,SF,0,ShADadFf,28,4142,41,31882,ssl,10.0.3.15,116.136.134.79,443,39532
715,1556890930.394215,CWvHUAgePjcWU3dwi,10.0.3.15,60617,116.136.134.79,443,tcp,14.118398904800415,2970.0,16687.0,SF,0,ShADadFf,23,3910,31,17931,ssl,10.0.3.15,116.136.134.79,443,60617
714,1556890930.47361,Cd2Aw611R1YuAOexdh,10.0.3.15,53589,116.136.134.79,443,tcp,6.6251490116119385,2128.0,11813.0,SF,0,ShADadFf,17,2828,23,12737,ssl,10.0.3.15,116.136.134.79,443,53589
718,1556890936.915066,Cff9561lBM7SD4Xe45,10.0.3.15,34036,116.136.134.79,443,tcp,23.41209602355957,1222.0,27328.0,SF,0,ShADadFf,30,2442,35,28732,ssl,10.0.3.15,116.136.134.79,443,34036
729,1556890936.920078,CuGuOERE4S3QFbY8e,10.0.3.15,51287,116.136.134.79,443,tcp,82.77363300323486,3961.0,127905.0,SF,0,ShADadFf,132,9261,136,133349,ssl,10.0.3.15,116.136.134.79,443,51287
724,1556890964.954016,CLM7lS22pxmEerEe6h,10.0.3.15,41386,116.136.134.79,443,tcp,30.794302940368652,1350.0,141608.0,SF,0,ShADadFf,78,4490,145,147412,ssl,10.0.3.15,116.136.134.79,443,41386
