,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,service,orig_h,resp_h,resp_p,orig_p
17,1556888620.513884,C4HxQ92kLHcj9jmjsh,10.0.3.15,52074,61.48.83.77,443,tcp,2.1113598346710205,2842.0,471237.0,SF,0,ShADadFf,220,11662,415,487841,ssl,10.0.3.15,61.48.83.77,443,52074
15,1556888621.307343,CxK17z3HLPIbAC0KHj,10.0.3.15,55017,61.48.83.77,443,tcp,0.575890064239502,1643.0,62004.0,SF,0,ShADadFf,46,3503,63,64528,ssl,10.0.3.15,61.48.83.77,443,55017
27,1556888622.903338,CwlvbX2Dcpv5GAS0Jf,10.0.3.15,58605,61.48.83.77,443,tcp,0.7120990753173828,849.0,48309.0,SF,0,ShADadFf,37,2349,52,50393,ssl,10.0.3.15,61.48.83.77,443,58605
24,1556888622.959762,CYkzHr3HUCrWWbR92a,10.0.3.15,45786,61.48.83.77,443,tcp,0.4488539695739746,849.0,24528.0,SF,0,ShADadFf,20,1669,29,25692,ssl,10.0.3.15,61.48.83.77,443,45786
26,1556888623.008629,CrCt2o3hbX0QSwhGZe,10.0.3.15,60721,61.48.83.77,443,tcp,0.4721379280090332,849.0,159400.0,SF,0,ShADadFf,78,3989,146,165244,ssl,10.0.3.15,61.48.83.77,443,60721
25,1556888623.013297,Cg2kA838gmNVwc7je9,10.0.3.15,52386,61.48.83.77,443,tcp,0.415881872177124,849.0,17467.0,SF,0,ShADadFf,18,1589,25,18471,ssl,10.0.3.15,61.48.83.77,443,52386
52,1556888623.546602,Cr4RnV3QjdNsKZcMMa,10.0.3.15,47157,61.48.83.77,443,tcp,39.81594395637512,5075.0,31725.0,SF,0,ShADadFf,34,6455,54,33889,ssl,10.0.3.15,61.48.83.77,443,47157
35,1556888623.547078,CpzUe1rxrtb6pjAVg,10.0.3.15,44867,61.48.83.77,443,tcp,23.976494073867798,1286.0,6171.0,SF,0,ShADadFf,14,1866,16,6815,ssl,10.0.3.15,61.48.83.77,443,44867
37,1556888623.554328,CX1FKn1zoYd7Yp8bs1,10.0.3.15,46443,61.48.83.77,443,tcp,27.621443033218384,2549.0,13194.0,SF,0,ShADadFf,20,3369,27,14278,ssl,10.0.3.15,61.48.83.77,443,46443
