src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,ip_version,bidirectional_first_seen_ms,bidirectional_last_seen_ms,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,application_name,application_category_name,ts,uid,service,conn_state,missed_bytes,history,weird_name,notice,peer,source
192.168.56.105,192.168.56.107,35988,80,6,1634117605,5019929.0,1036.0704304782,1.9920600470644103,0.9960300235322052,0.9960300235322052,5,5,908,4293,636.0,66.0,181.6,227.22112577839232,4021.0,66.0,858.6,1581.203035666198,4021,66,520.1,1179.1940001543428,1390498.4900000002,100,100,20,1,557769.8888888889,5005097.0,1.0,1572371.615948656,5019858.0,5005917.0,1.0,1254964.5,2165619.0947076194,5019899.0,5005972.0,891.0,1254974.75,2165643.690407817,0,0,0,0,1,0,0,0,0,0,0,1.0,520.1,29200,505,10908.0,42.0,5475.0,5433.0,5004222.0,11741.0,2507981.5,2496240.5,0.0,0.0,0.0,0.0,0.0,0.0,181.6,858.6,0,5,5,908,4293,4,1634117605814,1634117610834,1634117605814,1634117610834,5020,1634117605814,1634117610834,5020,HTTP,Web,1634117605.814711,CwrcKs1rZY92vHcm9,http,SF,0,ShADadfF,,,,
192.168.56.105,192.168.56.107,35990,80,6,1634117651,5045784.0,9669.458700570614,4.756446173676875,2.378223086838437,2.378223086838437,12,12,1428,47362,694.0,66.0,119.0,173.3830057031734,14546.0,66.0,3946.8333333333335,4417.877956540774,14546,66,2032.9166666666667,3665.641916461866,13436930.659722222,240,240,20,1,219381.91304347827,5006975.0,0.0,1020739.1080680497,5045697.0,5008053.0,0.0,458699.7272727273,1438664.387358958,5045756.0,5008315.0,90.0,458705.0909090909,1438741.5701200606,0,0,0,0,1,0,0,0,0,0,0,1.0,2032.9166666666667,29200,505,32262.0,34.0,16148.0,16114.0,5006975.0,32228.0,2519601.5,2487373.5,0.0,0.0,46562.0,8.0,0.0,14781587.301587302,119.0,3946.8333333333335,0,12,12,1428,47362,4,1634117651289,1634117656334,1634117651289,1634117656334,5045,1634117651289,1634117656334,5045,HTTP,Web,1634117651.28915,CsJdCx33bnpBKwoZRl,http,SF,0,ShADadfF,,,,
192.168.56.105,192.168.56.107,35992,80,6,1634117662,98983880.0,1369.7785942519126,3.131823080687482,2.0609416401943426,1.0708814404931388,204,106,80781,54805,818.0,66.0,395.9852941176471,336.7516318422866,623.0,66.0,517.0283018867924,111.95058356823048,818,66,437.3741935483871,286.7191308217649,82207.85997918835,4080,2120,20,100,320336.18122977344,1093517.0,24.0,464355.9578070879,98983880.0,1093517.0,442.0,487605.3201970444,496649.6373722933,98983403.0,1097139.0,1150.0,942699.0761904762,233059.7811263881,0,0,0,0,1,0,0,0,0,0,0,0.5196078431372549,437.3741935483871,29200,525,1092887.0,24.0,975741.16,141957.75814133725,1092469.0,43671.0,985505.95,102564.86456651468,0.0,0.0,0.0,0.0,0.0,0.0,395.9852941176471,517.0283018867924,0,204,106,80781,54805,4,1634117662838,1634117761822,1634117662838,1634117761822,98984,1634117662838,1634117761822,98984,HTTP,Web,1634117662.838782,CRv18w4KGlh5YT47gh,http,SF,0,ShADadFf,,,,
192.168.56.105,192.168.56.107,35994,80,6,1634117762,9976255.0,868.3619253918429,2.806664424676394,1.5035702275052112,1.303094197171183,15,13,4982,3681,740.0,66.0,332.1333333333333,324.8919546898972,546.0,66.0,283.15384615384613,233.378150105672,740,66,309.3928571428572,287.1086577892611,82431.38137755102,300,260,20,6,369490.9259259259,5008749.0,1.0,985742.0618610472,9976186.0,5012689.0,1.0,712584.7142857143,1277620.0030869578,9976228.0,5009402.0,688.0,831352.3333333334,1343664.5243647024,0,0,0,0,1,0,0,0,0,0,0,0.8666666666666667,309.3928571428572,29200,501,990137.0,24.0,704094.4285714285,438861.2211729213,5008096.0,21430.0,1419623.142857143,1501981.8404702528,0.0,0.0,0.0,0.0,0.0,0.0,332.1333333333333,283.15384615384613,0,15,13,4982,3681,4,1634117762876,1634117772852,1634117762876,1634117772852,9976,1634117762876,1634117772852,9976,HTTP,Web,1634117762.876301,CQBsV41uXxlYxMWHud,http,SF,0,ShADadfF,,,,
192.168.56.105,192.168.56.107,35996,80,6,1634117767,98981881.0,1412.1271346621509,3.131886329781912,2.060983262179065,1.0709030676028477,204,106,80070,59705,781.0,66.0,392.5,332.9270735078627,6152.0,66.0,563.2547169811321,556.1326884788658,6152,66,450.8870967741936,430.4137583557174,185256.00338189388,4080,2120,20,100,320329.71197411005,1096926.0,31.0,464704.0197872321,98981881.0,1096926.0,712.0,487595.472906404,497148.1738561804,98980474.0,1100303.0,1486.0,942671.180952381,235583.73581438616,0,0,0,0,1,0,0,0,0,0,0,0.5196078431372549,450.8870967741936,29200,511,1096252.0,34.0,974544.26,145891.07810415412,1095853.0,7060.0,975644.6831683168,145053.96771232333,0.0,0.0,0.0,0.0,0.0,0.0,392.5,563.2547169811321,0,204,106,80070,59705,4,1634117767950,1634117866932,1634117767950,1634117866932,98982,1634117767950,1634117866931,98981,HTTP,Web,1634117767.950676,CsyHa24lEsff2auRah,http,SF,0,ShADadFf,,,,
192.168.56.105,192.168.56.107,35998,80,6,1634117797,5050922.0,353.994775607305,1.9798365526135624,0.9899182763067812,0.9899182763067812,5,5,991,797,719.0,66.0,198.2,260.4184325273462,525.0,66.0,159.4,182.82625632003737,719,66,178.8,225.8272791316408,50997.96000000001,100,100,20,1,561213.5555555555,5003231.0,22.0,1570551.985316423,5050823.0,5004371.0,355.0,1262705.75,2160330.7037001736,5050896.0,5003910.0,744.0,1262724.0,2160049.481265533,0,0,0,0,1,0,0,0,0,0,0,1.0,178.8,29200,504,44324.0,22.0,22173.0,22151.0,5002552.0,44981.0,2523766.5,2478785.5,0.0,0.0,0.0,0.0,0.0,0.0,198.2,159.4,0,5,5,991,797,4,1634117797966,1634117803017,1634117797966,1634117803017,5051,1634117797966,1634117803017,5051,HTTP,Web,1634117797.966283,CpKFdKox2P0BUYmn5,http,SF,0,ShADadfF,,,,
192.168.56.105,192.168.56.107,36000,80,6,1634117798,5028786.0,362.3140853478354,1.988551511239492,0.994275755619746,0.994275755619746,5,5,1008,814,736.0,66.0,201.6,267.21796346802734,542.0,66.0,162.8,189.62531476572423,736,66,182.2,232.50367739027263,54057.95999999999,100,100,20,1,558754.0,5006252.0,1.0,1572439.460112146,5028715.0,5007206.0,1.0,1257178.75,2165094.443209392,5028761.0,5007004.0,1025.0,1257190.25,2164969.2425679374,0,0,0,0,1,0,0,0,0,0,0,1.0,182.2,29200,504,18876.0,23.0,9449.5,9426.5,5005500.0,19605.0,2512552.5,2492947.5,0.0,0.0,0.0,0.0,0.0,0.0,201.6,162.8,0,5,5,1008,814,4,1634117798066,1634117803094,1634117798066,1634117803094,5028,1634117798066,1634117803094,5028,HTTP,Web,1634117798.066082,C9ISWY2HPvrZwOArq4,http,SF,0,ShADadfF,,,,
192.168.56.105,192.168.56.107,36008,80,6,1634117867,7036005.0,230704.35566774043,27.572464772267782,12.64922352954553,14.923241242722254,89,105,7917,1615320,756.0,66.0,88.95505617977528,122.4236437206914,49298.0,66.0,15384.0,11726.158684955695,49298,66,8367.201030927836,11511.52816782184,132515280.75855564,1780,2100,20,3,36455.98445595855,5000525.0,0.0,371510.1437637364,7035934.0,5001491.0,0.0,79953.79545454546,547115.5951321846,7035969.0,5001379.0,54.0,67653.54807692308,504113.5464090918,0,0,0,0,1,0,0,0,0,0,0,1.1797752808988764,8367.201030927836,29200,501,971717.0,54.0,495834.0,475518.78625192086,5000524.0,41751.0,1745938.25,1916927.9273628648,0.0,0.0,1607426.0,97.0,0.0,37072487.83412901,88.95505617977528,15384.0,0,89,105,7917,1615320,4,1634117867859,1634117874895,1634117867859,1634117874895,7036,1634117867859,1634117874895,7036,HTTP,Web,1634117867.859073,COZf4c1PlRceTzPTFl,http,SF,0,ShADadfF,,,,
192.168.56.105,192.168.56.107,36010,80,6,1634117870,27950050.0,1708.0470339051271,2.075130455938361,1.109121450587745,0.9660090053506164,31,27,11479,36261,752.0,66.0,370.2903225806452,334.8616655689897,6094.0,66.0,1343.0,1793.5936407525949,6094,66,823.1034482758621,1338.994987109866,1792907.5755053505,620,540,20,14,490351.7543859649,5007341.0,25.0,875298.7742390971,27949980.0,5008510.0,316.0,931666.0,1024041.1165458153,27950024.0,5008001.0,555.0,1075000.923076923,1027563.5357333956,0,0,0,0,1,0,0,0,0,0,0,0.8709677419354839,823.1034482758621,29200,501,2763798.0,30.0,1141182.7,554514.956688555,5006681.0,14525.0,1391546.75,961986.2775229112,0.0,0.0,0.0,0.0,0.0,0.0,370.2903225806452,1343.0,0,31,27,11479,36261,4,1634117870973,1634117898923,1634117870973,1634117898923,27950,1634117870973,1634117898923,27950,HTTP,Web,1634117870.973896,CVzaJDjjf7V0FGeLi,http,SF,0,ShADadfF,,,,
192.168.56.105,192.168.56.107,36012,80,6,1634117880,12278472.0,2681.5225868495686,2.7690741975060087,1.3845370987530043,1.3845370987530043,17,17,4539,28386,748.0,66.0,267.0,310.3607009688604,7306.0,66.0,1669.764705882353,2250.043072252089,7306,66,968.3823529411764,1752.554136357862,3071446.000865052,340,340,20,5,372074.9090909091,1628325.0,26.0,611797.2256275254,12278312.0,1628325.0,317.0,767394.5,685218.1591929318,12278441.0,1629070.0,159.0,767402.5625,685009.4125023911,0,0,0,0,1,0,0,0,0,0,0,1.0,968.3823529411764,29200,501,1628299.0,34.0,1223826.111111111,457149.0754040365,1627606.0,1220871.0,1362208.888888889,152659.3729403577,0.0,0.0,0.0,0.0,0.0,0.0,267.0,1669.764705882353,0,17,17,4539,28386,4,1634117880177,1634117892456,1634117880177,1634117892455,12278,1634117880177,1634117892456,12279,HTTP,Web,1634117880.177644,CBNW2X1AnFjivYGqDa,http,SF,0,ShADadfF,HTTP_version_mismatch,False,zeek,HTTP
